distid,schid,lunch,enrol,staff,exppp,avgsal,avgben,math4,story4,bs,lavgsal,lenrol,lstaff
1010.0,4937,48.29999923706055,539.0,71.0999984741211,3586.0,39383.0,13656.0,68.0,70.69999694824219,0.34674859046936035,10.581089973449707,6.289715766906738,4.264087200164795
2010.0,4959,51.5,59.0,127.0999984741211,4357.0,25622.0,10004.0,40.0,40.0,0.3904457092285156,10.151206970214844,4.077537536621094,4.844974040985107
2020.0,4999,51.20000076293945,82.0,122.5999984741211,5667.0,31318.0,12645.0,57.099998474121094,57.099998474121094,0.4037614166736603,10.351948738098145,4.406719207763672,4.808927059173584
2070.0,597,33.70000076293945,409.0,77.5,2752.0,27873.0,9657.0,63.20000076293945,73.5,0.3464643061161041,10.235413551330566,6.0137152671813965,4.350277900695801
3010.0,790,11.899999618530273,259.0,87.5999984741211,3253.0,31264.0,10017.0,56.400001525878906,64.0999984741211,0.3204004466533661,10.35022258758545,5.556828022003174,4.472781181335449
3010.0,1403,22.799999237060547,337.0,105.30000305175781,3326.0,26385.0,8395.0,60.0,80.0,0.31817319989204407,10.180550575256348,5.820083141326904,4.656813621520996
3010.0,4056,28.100000381469727,589.0,57.099998474121094,2260.0,33177.0,10518.0,64.5,71.5999984741211,0.31702685356140137,10.409611701965332,6.3784260749816895,4.044804096221924
3020.0,922,30.600000381469727,450.0,76.19999694824219,2934.0,34666.0,11032.0,66.19999694824219,76.5,0.3182368874549866,10.45351505279541,6.10924768447876,4.333361625671387
3020.0,2864,30.100000381469727,380.0,71.0999984741211,3063.0,34798.0,11278.0,74.0,78.0,0.3240990936756134,10.457315444946289,5.940171241760254,4.264087200164795
3020.0,4851,16.0,281.0,60.599998474121094,2957.0,39300.0,12211.0,51.20000076293945,79.0999984741211,0.31071245670318604,10.5789794921875,5.638354778289795,4.104294776916504
3030.0,881,30.700000762939453,360.0,94.5999984741211,2548.0,25496.0,8023.0,63.5,80.4000015258789,0.31467682123184204,10.146276473999023,5.886104106903076,4.549657344818115
3030.0,2748,27.600000381469727,281.0,68.5999984741211,2846.0,33326.0,10437.0,62.29999923706055,67.9000015258789,0.3131788969039917,10.414093017578125,5.638354778289795,4.228292465209961
3030.0,4469,35.20000076293945,283.0,71.80000305175781,2682.0,28539.0,8818.0,55.79999923706055,78.80000305175781,0.30898070335388184,10.259026527404785,5.64544677734375,4.273884296417236
3030.0,5954,33.29999923706055,509.0,61.70000076293945,2664.0,33717.0,10671.0,55.70000076293945,72.19999694824219,0.31648722290992737,10.42575740814209,6.232448101043701,4.122283935546875
3040.0,936,21.600000381469727,485.0,81.0,2511.0,24393.0,9089.0,75.0,75.0,0.37260690331459045,10.102051734924316,6.184148788452148,4.394449234008789
3040.0,3224,24.600000381469727,412.0,91.0,2262.0,19831.0,7170.0,54.79999923706055,61.5,0.3615551292896271,9.895001411437988,6.021023273468018,4.510859489440918
3050.0,107,43.20000076293945,368.0,68.19999694824219,3227.0,36526.0,11494.0,45.70000076293945,56.900001525878906,0.31467995047569275,10.505779266357422,5.908082962036133,4.222444534301758
3060.0,6034,39.5,505.0,71.19999694824219,3018.0,31373.0,10822.0,49.400001525878906,72.69999694824219,0.3449462950229645,10.353702545166016,6.224558353424072,4.265492916107178
3070.0,1756,28.5,442.0,69.0,2623.0,29639.0,9282.0,51.900001525878906,77.80000305175781,0.313168466091156,10.296846389770508,6.091310024261475,4.234106540679932
3070.0,6025,31.299999237060547,182.0,88.5,3488.0,28150.0,8705.0,68.30000305175781,80.5,0.30923622846603394,10.245302200317383,5.204006671905518,4.483002662658691
3080.0,941,27.5,416.0,78.5999984741211,3046.0,30085.0,10167.0,65.4000015258789,78.80000305175781,0.337942510843277,10.311781883239746,6.0306854248046875,4.3643717765808105
3100.0,1545,16.0,444.0,65.0999984741211,2749.0,33245.0,10637.0,62.099998474121094,75.9000015258789,0.3199578821659088,10.411659240722656,6.095824718475342,4.175924301147461
3100.0,1548,21.700000762939453,359.0,64.9000015258789,2896.0,34413.0,11111.0,76.9000015258789,73.0999984741211,0.3228721618652344,10.446189880371094,5.883322238922119,4.172847747802734
