dcode,bcode,math4,read4,lunch,enroll,exppp,lenroll,lexppp
1010.0,4937,83.30000305175781,77.80000305175781,40.599998474121094,468,5870.6728515625,6.148468494415283,8.677724838256836
3010.0,790,85.69999694824219,60.0,12.75,251,4824.83642578125,5.525453090667725,8.481532096862793
3010.0,1403,77.30000305175781,59.099998474121094,17.079999923706055,439,4358.77197265625,6.084499359130859,8.379945755004883
3010.0,4056,85.19999694824219,67.0,23.170000076293945,561,4701.3955078125,6.329720973968506,8.455615043640137
3020.0,922,91.80000305175781,67.69999694824219,25.56999969482422,442,4311.984375,6.091310024261475,8.369153022766113
3020.0,2864,87.69999694824219,80.0,27.299999237060547,381,4507.33056640625,5.9427995681762695,8.413460731506348
3020.0,4851,87.80000305175781,61.20000076293945,20.80000114440918,274,3987.29931640625,5.613128185272217,8.29086971282959
3030.0,881,74.4000015258789,51.20000076293945,42.63999938964844,326,5445.87744140625,5.7868971824646,8.602614402770996
3030.0,2748,70.19999694824219,51.099998474121094,27.84000015258789,273,5280.50537109375,5.609471797943115,8.57177734375
3030.0,4469,74.4000015258789,62.79999923706055,29.1200008392334,285,4072.52978515625,5.652489185333252,8.312019348144531
3030.0,5954,65.69999694824219,47.099998474121094,36.34000015258789,421,4910.85986328125,6.042633056640625,8.499204635620117
3040.0,2586,85.0999984741211,71.30000305175781,16.84000015258789,190,4765.62109375,5.247024059295654,8.469182968139648
3040.0,3224,82.0,78.9000015258789,30.610000610351562,294,4705.32666015625,5.683579921722412,8.456450462341309
3060.0,6034,74.0,58.0,27.3799991607666,347,4867.0693359375,5.849324703216553,8.49024772644043
3070.0,1756,83.69999694824219,55.099998474121094,20.89000129699707,316,4476.607421875,5.755742073059082,8.406620979309082
3070.0,6025,93.5999984741211,72.30000305175781,17.420000076293945,287,3757.87451171875,5.659482002258301,8.231608390808105
3080.0,941,76.4000015258789,58.20000076293945,23.860000610351562,373,5539.96533203125,5.921578407287598,8.619743347167969
3100.0,1545,89.69999694824219,76.5,8.600000381469727,523,3708.172119140625,6.259581565856934,8.218294143676758
3100.0,1548,86.5,76.9000015258789,17.190000534057617,320,4167.4345703125,5.7683210372924805,8.33505630493164
3100.0,3403,94.69999694824219,94.69999694824219,7.549999713897705,159,4803.82373046875,5.068904399871826,8.477167129516602
3100.0,4975,79.5,65.9000015258789,19.920000076293945,246,5175.50830078125,5.505331516265869,8.551692962646484
4010.0,106,81.4000015258789,76.30000305175781,39.099998474121094,468,4383.181640625,6.148468494415283,8.385530471801758
4010.0,1110,82.5,73.0,39.87999725341797,484,4226.638671875,6.182085037231445,8.349162101745605
4010.0,1688,76.69999694824219,63.29999923706055,33.70000076293945,276,4626.9345703125,5.620400905609131,8.43964958190918
4010.0,2185,92.9000015258789,58.599998474121094,66.66999816894531,279,4795.12548828125,5.631211757659912,8.47535514831543
4010.0,2251,69.19999694824219,65.4000015258789,38.71000289916992,155,4496.658203125,5.0434250831604,8.411089897155762
4010.0,2353,75.0,58.29999923706055,45.95000076293945,148,5494.0068359375,4.9972124099731445,8.61141300201416
4010.0,2859,62.5,43.79999923706055,43.79999923706055,137,5142.6494140625,4.919981002807617,8.545323371887207
4010.0,3392,80.0,68.0,40.310001373291016,191,4811.083984375,5.2522735595703125,8.478677749633789
4010.0,4552,48.599998474121094,56.79999923706055,42.65999984741211,218,5046.421875,5.384495258331299,8.526434898376465
4010.0,5499,69.19999694824219,53.79999923706055,35.19000244140625,216,4716.5322265625,5.375278472900391,8.458828926086426
5035.0,5858,92.0,68.0,41.26000213623047,223,5396.08056640625,5.407171726226807,8.593428611755371
5040.0,5894,83.30000305175781,77.80000305175781,23.790000915527344,248,5267.66552734375,5.513428688049316,8.569342613220215
5070.0,2332,91.30000305175781,68.0999984741211,59.46000289916992,481,4725.744140625,6.175867080688477,8.460780143737793
6010.0,6950,58.099998474121094,48.400001525878906,46.369998931884766,468,5057.98486328125,6.148468494415283,8.52872371673584
6050.0,4049,84.9000015258789,70.5999984741211,46.630001068115234,667,4298.4931640625,6.5027899742126465,8.366020202636719
6050.0,4068,68.30000305175781,60.0,49.23999786376953,394,4830.94677734375,5.976350784301758,8.482797622680664
8010.0,901,77.69999694824219,66.0,34.029998779296875,720,4976.44873046875,6.579251289367676,8.512472152709961
8030.0,77,60.0,57.79999923706055,25.8799991607666,371,4697.4716796875,5.916202068328857,8.454779624938965
8030.0,1606,80.5999984741211,73.0999984741211,15.780000686645508,450,4177.06201171875,6.10924768447876,8.337363243103027
8030.0,3075,91.69999694824219,79.19999694824219,15.790000915527344,152,4500.25634765625,5.023880481719971,8.411890029907227
8030.0,3541,71.0999984741211,45.0,30.93000030517578,291,5709.54638671875,5.673323154449463,8.649894714355469
8030.0,8469,96.19999694824219,78.80000305175781,21.40999984741211,313,3690.437744140625,5.746203422546387,8.213500022888184
8050.0,7253,85.0999984741211,68.19999694824219,18.19999885559082,434,3907.235107421875,6.073044300079346,8.270585060119629
9010.0,150,82.19999694824219,74.0,22.1200008392334,416,4777.8916015625,6.0306854248046875,8.471755027770996
9010.0,804,44.0,28.0,74.37999725341797,242,5150.77294921875,5.488937854766846,8.54690170288086
9010.0,1553,88.9000015258789,69.80000305175781,24.15999984741211,418,4971.2392578125,6.0354814529418945,8.51142406463623
9010.0,2235,88.19999694824219,52.900001525878906,48.65999984741211,374,4897.181640625,5.924255847930908,8.496415138244629
9010.0,2309,92.0,80.0,13.070000648498535,306,4363.548828125,5.72358512878418,8.381040573120117
9010.0,3201,87.5,56.29999923706055,49.470001220703125,190,3215.252685546875,5.247024059295654,8.075661659240723
9010.0,4361,78.30000305175781,50.0,62.19999694824219,590,5239.98486328125,6.380122661590576,8.56407356262207
9010.0,5463,62.20000076293945,48.900001525878906,24.40999984741211,594,4836.99853515625,6.3868794441223145,8.484049797058105
9010.0,6966,69.30000305175781,50.70000076293945,41.02000045776367,529,5092.34033203125,6.270988464355469,8.535492897033691
9010.0,6967,76.9000015258789,53.79999923706055,55.93000030517578,531,4824.82861328125,6.274762153625488,8.48153018951416
9010.0,7127,46.70000076293945,26.700000762939453,85.50999450683594,138,4363.5361328125,4.927253723144531,8.381037712097168
9030.0,186,75.80000305175781,59.099998474121094,37.15999984741211,444,5249.4482421875,6.095824718475342,8.565877914428711
9030.0,191,73.19999694824219,57.70000076293945,44.22999954223633,312,5545.115234375,5.7430033683776855,8.620672225952148
