wage,lwage,belavg,abvavg,exper,looks,union,goodhlth,black,female,married,south,bigcity,smllcity,service,expersq,educ
5.730000019073486,1.7457154989242554,0,1,30,4,0,1,0,1,1,0,0,1,1,900,14
4.28000020980835,1.4539530277252197,0,0,28,3,0,1,0,1,1,1,0,1,0,784,12
7.960000038146973,2.0744290351867676,0,1,35,4,0,1,0,1,0,0,0,1,0,1225,10
11.569999694824219,2.448415517807007,0,0,38,3,0,1,0,0,1,0,1,0,1,1444,16
11.420000076293945,2.435366153717041,0,0,27,3,0,1,0,0,1,0,0,1,0,729,16
3.9100000858306885,1.3635374307632446,0,0,20,3,0,0,0,1,1,0,1,0,0,400,12
8.760000228881836,2.1701958179473877,0,0,12,3,0,1,0,0,1,0,1,0,0,144,16
7.690000057220459,2.0399208068847656,0,1,5,4,1,1,0,0,0,0,0,1,0,25,16
5.0,1.6094379425048828,0,0,5,3,0,1,0,1,0,0,0,0,0,25,16
3.890000104904175,1.3584091663360596,0,0,12,3,0,1,0,1,0,0,0,1,0,144,12
3.450000047683716,1.2383742332458496,0,1,3,4,0,1,0,1,0,0,1,0,0,9,12
4.03000020980835,1.3937664031982422,0,1,6,4,0,1,0,0,1,0,0,1,0,36,16
5.139999866485596,1.6370530128479004,1,0,19,2,0,1,0,0,1,0,0,1,1,361,17
3.0,1.0986123085021973,0,0,8,3,0,1,0,0,0,0,0,1,1,64,16
7.989999771118164,2.078190803527832,0,1,12,4,0,1,0,0,1,0,0,0,0,144,16
6.010000228881836,1.7934248447418213,0,1,17,4,0,1,0,0,1,0,0,1,0,289,16
5.159999847412109,1.6409364938735962,0,0,7,3,0,1,0,0,1,0,0,0,0,49,17
11.539999961853027,2.445819139480591,0,1,12,4,0,1,0,0,1,1,0,1,1,144,17
10.4399995803833,2.345644474029541,0,1,10,4,0,1,0,1,0,0,1,0,0,100,17
7.690000057220459,2.0399208068847656,0,0,7,3,0,1,0,1,1,0,0,0,1,49,16
7.690000057220459,2.0399208068847656,0,1,7,4,1,1,0,0,0,0,0,1,0,49,17
6.789999961853027,1.915450930595398,0,0,19,3,0,1,0,0,1,0,0,1,1,361,14
6.869999885559082,1.927164077758789,0,0,33,3,0,1,0,0,1,0,1,0,1,1089,12
17.030000686645508,2.8349764347076416,0,0,32,3,0,1,0,0,1,0,1,0,0,1024,13
10.050000190734863,2.307572603225708,0,1,12,4,0,1,0,0,1,0,1,0,0,144,13
15.8100004196167,2.7606427669525146,0,1,24,4,0,1,0,0,1,1,0,1,1,576,17
14.84000015258789,2.697326183319092,0,1,29,5,0,1,0,0,0,1,1,0,1,841,13
19.079999923706055,2.9486405849456787,0,1,17,5,0,1,0,0,0,0,1,0,0,289,17
8.350000381469727,2.1222615242004395,1,0,41,1,0,0,0,0,1,1,1,0,1,1681,16
9.619999885559082,2.2638442516326904,0,0,40,3,0,0,0,0,1,0,0,1,0,1600,16
5.960000038146973,1.785070538520813,0,0,10,3,0,1,0,0,1,0,0,1,0,100,14
5.730000019073486,1.7457154989242554,0,0,43,3,0,0,0,0,1,0,0,1,0,1849,10
6.730000019073486,1.9065752029418945,0,1,41,4,0,1,0,0,1,0,0,1,0,1681,10
8.170000076293945,2.100468873977661,1,0,18,2,0,1,0,0,1,0,0,1,0,324,16
12.390000343322754,2.516889810562134,0,1,28,4,0,1,0,0,1,0,1,0,0,784,12
9.619999885559082,2.2638442516326904,1,0,37,2,0,1,0,0,1,0,1,0,0,1369,13
4.829999923706055,1.5748465061187744,0,1,20,4,0,1,1,0,1,0,0,1,0,400,16
7.690000057220459,2.0399208068847656,1,0,10,2,1,1,0,0,1,0,0,1,0,100,13
12.5,2.525728702545166,0,0,31,3,0,1,0,0,1,1,0,1,0,961,16
2.819999933242798,1.0367368459701538,0,0,18,3,0,1,0,0,1,0,0,0,1,324,12
12.3100004196167,2.5104119777679443,0,0,9,3,1,1,0,0,0,0,1,0,0,81,17
13.220000267028809,2.581730842590332,0,0,42,3,0,1,0,0,1,0,1,0,0,1764,16
16.829999923706055,2.8231630325317383,0,1,14,4,0,1,0,0,1,1,1,0,0,196,16
11.539999961853027,2.445819139480591,0,0,27,3,0,1,0,0,1,0,1,0,0,729,16
4.949999809265137,1.599387526512146,0,0,20,3,0,1,1,1,0,1,1,0,1,400,14
7.210000038146973,1.9754689931869507,0,0,14,3,0,1,0,0,1,0,1,0,0,196,17
11.579999923706055,2.449279546737671,0,0,4,3,0,1,0,0,1,0,1,0,0,16,17
15.380000114440918,2.7330679893493652,0,0,13,3,0,1,0,0,1,0,1,0,0,169,17
6.099999904632568,1.808288812637329,0,0,5,3,0,1,0,0,1,0,0,1,1,25,17
7.929999828338623,2.070652961730957,0,0,32,3,0,1,0,0,1,0,1,0,1,1024,17
9.15999984741211,2.214846134185791,0,1,19,4,1,1,0,1,1,0,1,0,1,361,17
6.909999847412109,1.932969570159912,0,1,14,4,0,1,0,1,0,1,1,0,1,196,17
20.18000030517578,3.0046920776367188,0,0,28,3,0,1,0,0,1,0,1,0,1,784,17
9.930000305175781,2.295560598373413,0,0,31,3,1,1,0,0,1,1,0,1,0,961,17
7.789999961853027,2.0528409481048584,0,1,18,4,0,1,0,0,1,0,0,1,0,324,13
5.130000114440918,1.6351057291030884,0,0,23,3,0,1,0,0,1,0,0,0,1,529,5
10.989999771118164,2.3969857692718506,0,1,14,4,0,1,0,0,1,1,0,1,0,196,16
6.559999942779541,1.8809906244277954,1,0,17,2,0,1,0,0,1,0,0,1,0,289,13
10.100000381469727,2.312535524368286,0,0,16,3,0,1,0,0,1,0,1,0,0,256,13
10.739999771118164,2.3739750385284424,0,0,19,3,0,1,0,0,1,0,0,0,0,361,16
16.350000381469727,2.7942278385162354,0,0,26,3,0,1,0,0,1,0,1,0,0,676,17
4.619999885559082,1.5303946733474731,0,1,20,4,0,1,0,1,1,1,0,1,1,400,12
7.489999771118164,2.013568878173828,0,0,18,3,0,1,0,0,1,0,0,0,0,324,17
19.229999542236328,2.9564714431762695,0,0,35,3,0,1,0,0,1,0,1,0,0,1225,17
4.769999980926514,1.562346339225769,0,1,9,4,0,1,0,1,0,1,0,1,1,81,17
7.139999866485596,1.9657127857208252,1,0,20,2,0,1,0,1,0,0,1,0,1,400,17
14.420000076293945,2.6686160564422607,0,1,7,4,0,1,0,0,1,1,0,0,1,49,17
9.279999732971191,2.2278614044189453,0,1,40,4,0,1,0,0,0,1,0,0,1,1600,17
29.979999542236328,3.4005305767059326,0,0,12,3,0,1,0,0,1,0,0,1,1,144,17
32.790000915527344,3.4901235103607178,0,1,33,4,0,1,0,0,1,0,0,1,1,1089,16
9.619999885559082,2.2638442516326904,0,0,16,3,0,1,0,0,1,0,0,1,0,256,16
8.359999656677246,2.1234583854675293,0,0,15,3,0,1,0,1,1,0,1,0,0,225,16
21.6299991607666,3.0740811824798584,0,0,11,3,0,1,0,0,1,0,0,1,1,121,17
15.899999618530273,2.7663190364837646,0,1,24,4,0,1,0,0,1,0,0,1,1,576,17
5.769999980926514,1.7526720762252808,1,0,6,2,0,1,0,0,1,1,1,0,1,36,17
20.989999771118164,3.04404616355896,1,0,40,2,0,1,0,0,1,1,1,0,1,1600,17
23.31999969482422,3.1493113040924072,0,1,15,5,0,1,0,0,1,1,0,0,1,225,17
4.96999979019165,1.6034197807312012,0,1,9,4,0,1,0,0,1,0,0,1,1,81,17
6.889999866485596,1.9300711154937744,1,0,16,2,0,1,0,0,1,1,0,0,0,256,17
5.730000019073486,1.7457154989242554,1,0,12,2,0,1,0,1,0,1,1,0,1,144,13
5.190000057220459,1.6467337608337402,0,0,8,3,0,1,0,0,1,0,0,1,1,64,17
7.789999961853027,2.0528409481048584,0,0,25,3,1,1,0,1,0,0,0,1,1,625,17
8.789999961853027,2.173614740371704,0,0,24,3,1,1,0,1,1,0,0,0,1,576,16
9.319999694824219,2.2321627140045166,0,1,25,4,1,1,0,1,0,1,0,1,0,625,17
8.329999923706055,2.119863510131836,0,1,7,4,0,1,0,1,0,1,1,0,1,49,17
10.119999885559082,2.314513683319092,0,0,40,3,0,1,1,1,0,0,0,1,1,1600,10
1.9800000190734863,0.6830968260765076,0,0,29,3,0,0,0,1,0,0,0,0,1,841,8
8.239999771118164,2.1090002059936523,0,1,13,4,0,1,0,1,1,0,1,0,1,169,17
5.050000190734863,1.619388222694397,0,1,5,4,0,1,0,1,0,0,0,0,1,25,14
6.550000190734863,1.879465103149414,0,0,10,3,0,1,0,1,1,0,0,0,0,100,16
4.46999979019165,1.4973883628845215,0,0,25,3,1,1,0,0,1,0,0,0,1,625,13
7.960000038146973,2.0744290351867676,0,0,10,3,0,1,0,1,1,0,1,0,1,100,16
6.25,1.8325815200805664,1,0,20,2,0,1,0,0,0,0,0,0,1,400,17
4.130000114440918,1.418277382850647,0,0,7,3,0,1,0,0,0,0,0,0,0,49,16
6.730000019073486,1.9065752029418945,1,0,25,2,0,1,0,1,1,1,0,0,1,625,13
7.690000057220459,2.0399208068847656,0,0,8,3,0,1,0,1,0,0,0,1,1,64,17
4.349999904632568,1.470175862312317,1,0,8,2,0,1,0,1,1,0,0,1,1,64,14
7.690000057220459,2.0399208068847656,0,0,28,3,0,1,0,0,1,0,0,1,0,784,14
4.809999942779541,1.5706970691680908,1,0,37,2,0,1,0,0,1,1,0,1,1,1369,16
5.239999771118164,1.656321406364441,0,0,31,3,0,1,0,0,1,0,0,0,1,961,17
2.140000104904175,0.7608059048652649,0,1,24,4,0,1,0,0,1,0,0,0,1,576,16
4.489999771118164,1.5018526315689087,0,1,33,4,0,1,0,0,1,0,0,0,1,1089,17
3.609999895095825,1.2837077379226685,0,1,8,4,0,1,0,0,1,0,0,1,1,64,17
5.449999809265137,1.695615530014038,0,0,33,3,0,1,0,0,1,0,0,1,1,1089,17
5.0,1.6094379425048828,0,0,30,3,0,1,0,0,1,0,0,0,1,900,17
