prate,mrate,totpart,totelg,age,totemp,sole,ltotemp
26.100000381469727,0.20999999344348907,1653.0,6322.0,8,8709.0,0,9.072112083435059
100.0,1.4199999570846558,262.0,262.0,6,315.0,1,5.752572536468506
97.5999984741211,0.9100000262260437,166.0,170.0,10,275.0,1,5.616771221160889
100.0,0.41999998688697815,257.0,257.0,7,500.0,0,6.214608192443848
82.5,0.5299999713897705,591.0,716.0,28,933.0,1,6.838405132293701
100.0,1.8200000524520874,92.0,92.0,7,143.0,1,4.9628448486328125
100.0,0.5299999713897705,399.0,399.0,31,628.0,1,6.442540168762207
92.5,0.3400000035762787,210.0,227.0,13,823.0,0,6.712956428527832
100.0,0.2199999988079071,234.0,234.0,21,279.0,1,5.631211757659912
96.80000305175781,0.6000000238418579,120.0,124.0,10,141.0,1,4.948760032653809
83.0,0.5,156.0,188.0,5,252.0,0,5.529428958892822
100.0,1.1100000143051147,187.0,187.0,20,237.0,1,5.46806001663208
65.5,0.4300000071525574,350.0,534.0,5,681.0,1,6.523562431335449
84.9000015258789,0.5099999904632568,1519.0,1790.0,10,2557.0,0,7.846590042114258
100.0,0.1899999976158142,150.0,150.0,7,187.0,1,5.231108665466309
100.0,0.4099999964237213,160.0,160.0,7,188.0,1,5.2364420890808105
100.0,0.8399999737739563,3448.0,3448.0,13,4120.0,0,8.3236083984375
77.5999984741211,0.46000000834465027,225.0,290.0,15,341.0,0,5.831882476806641
100.0,0.44999998807907104,519.0,519.0,15,598.0,0,6.393590927124023
100.0,1.1299999952316284,176.0,176.0,8,273.0,1,5.609471797943115
66.9000015258789,0.47999998927116394,79.0,118.0,5,224.0,1,5.411645889282227
100.0,0.38999998569488525,270.0,270.0,7,415.0,0,6.028278350830078
70.30000305175781,0.20999999344348907,201.0,286.0,7,361.0,0,5.888877868652344
100.0,0.949999988079071,381.0,381.0,23,422.0,0,6.0450053215026855
51.29999923706055,0.3400000035762787,284.0,554.0,9,797.0,1,6.680854797363281
61.29999923706055,0.36000001430511475,171.0,279.0,15,2102.0,1,7.650644779205322
88.30000305175781,0.9599999785423279,3858.0,4371.0,28,4371.0,0,8.382746696472168
100.0,0.8700000047683716,143.0,143.0,8,143.0,1,4.9628448486328125
82.9000015258789,4.199999809265137,107.0,129.0,7,131.0,1,4.875197410583496
77.80000305175781,0.07999999821186066,770.0,990.0,6,1042.0,0,6.948897361755371
100.0,0.9100000262260437,179.0,179.0,6,312.0,1,5.7430033683776855
90.0999984741211,0.4399999976158142,2803.0,3110.0,6,3543.0,0,8.1727294921875
85.30000305175781,0.6200000047683716,93.0,109.0,13,158.0,0,5.062594890594482
100.0,0.2800000011920929,425.0,425.0,7,458.0,0,6.126869201660156
100.0,0.5899999737739563,2027.0,2027.0,7,2442.0,0,7.800572872161865
75.5999984741211,0.30000001192092896,438.0,579.0,11,1721.0,0,7.450660705566406
100.0,0.5600000023841858,584.0,584.0,7,685.0,1,6.5294189453125
100.0,0.6499999761581421,1284.0,1284.0,5,1559.0,0,7.351799964904785
100.0,1.309999942779541,109.0,109.0,37,297.0,1,5.693732261657715
78.19999694824219,0.20999999344348907,1017.0,1301.0,7,2125.0,0,7.661527156829834
77.4000015258789,0.4099999964237213,209.0,270.0,7,381.0,1,5.9427995681762695
100.0,0.23000000417232513,145.0,145.0,6,405.0,0,6.003887176513672
77.0,0.4099999964237213,612.0,795.0,12,1125.0,0,7.025538444519043
100.0,2.0299999713897705,133.0,133.0,35,206.0,1,5.327876091003418
98.9000015258789,0.5199999809265137,275.0,278.0,42,297.0,0,5.693732261657715
75.30000305175781,0.38999998569488525,192.0,255.0,6,1024.0,0,6.931471824645996
77.19999694824219,0.1599999964237213,464.0,601.0,6,636.0,0,6.455198764801025
100.0,0.9900000095367432,542.0,542.0,9,622.0,0,6.4329400062561035
