month,urate,vrate,t,urate_1,vrate_1,curate,cvrate
11292.0,3.8,4.0,1,,,,
11323.0,4.1,4.1,2,3.799999952316284,4.0,0.30000001192092896,0.10000000149011612
11354.0,4.1,3.7,3,4.099999904632568,4.099999904632568,0.0,-0.4000000059604645
11382.0,4.1,3.7,4,4.099999904632568,3.700000047683716,0.0,0.0
11413.0,4.2,3.6,5,4.099999904632568,3.700000047683716,0.10000000149011612,-0.10000000149011612
11443.0,4.3,3.5,6,4.199999809265137,3.5999999046325684,0.10000000149011612,-0.10000000149011612
11474.0,4.4,3.3,7,4.300000190734863,3.5,0.10000000149011612,-0.20000000298023224
11504.0,4.5,3.3,8,4.400000095367432,3.299999952316284,0.10000000149011612,0.0
11535.0,4.8,3.2,9,4.5,3.299999952316284,0.30000001192092896,-0.10000000149011612
11566.0,5.0,3.2,10,4.800000190734863,3.200000047683716,0.20000000298023224,0.0
11596.0,5.3,2.8,11,5.0,3.200000047683716,0.30000001192092896,-0.4000000059604645
11627.0,5.5,2.8,12,5.300000190734863,2.799999952316284,0.20000000298023224,0.0
11657.0,5.8,2.8,13,5.5,2.799999952316284,0.30000001192092896,0.0
11688.0,5.8,2.8,14,5.800000190734863,2.799999952316284,0.0,0.0
11719.0,5.9,2.6,15,5.800000190734863,2.799999952316284,0.10000000149011612,-0.20000000298023224
11747.0,5.8,2.8,16,5.900000095367432,2.5999999046325684,-0.10000000149011612,0.20000000298023224
11778.0,6.1,2.7,17,5.800000190734863,2.799999952316284,0.30000001192092896,-0.10000000149011612
11808.0,5.9,2.7,18,6.099999904632568,2.700000047683716,-0.20000000298023224,0.0
11839.0,5.9,2.6,19,5.900000095367432,2.700000047683716,0.0,-0.10000000149011612
11869.0,5.9,2.7,20,5.900000095367432,2.5999999046325684,0.0,0.10000000149011612
11900.0,5.8,2.7,21,5.900000095367432,2.700000047683716,-0.10000000149011612,0.0
11931.0,5.7,2.6,22,5.800000190734863,2.700000047683716,-0.10000000149011612,-0.10000000149011612
11961.0,5.8,2.8,23,5.699999809265137,2.5999999046325684,0.10000000149011612,0.20000000298023224
11992.0,6.0,2.8,24,5.800000190734863,2.799999952316284,0.20000000298023224,0.0
12022.0,6.1,2.4,25,6.0,2.799999952316284,0.10000000149011612,-0.4000000059604645
12053.0,6.0,2.9,26,6.099999904632568,2.4000000953674316,-0.10000000149011612,0.5
12084.0,6.0,2.7,27,6.0,2.9000000953674316,0.0,-0.20000000298023224
12112.0,6.0,2.4,28,6.0,2.700000047683716,0.0,-0.30000001192092896
12143.0,6.2,2.5,29,6.0,2.4000000953674316,0.20000000298023224,0.10000000149011612
12173.0,6.2,2.5,30,6.199999809265137,2.5,0.0,0.0
12204.0,6.4,2.5,31,6.199999809265137,2.5,0.20000000298023224,0.0
12234.0,6.3,2.5,32,6.400000095367432,2.5,-0.10000000149011612,0.0
12265.0,6.2,2.6,33,6.300000190734863,2.5,-0.10000000149011612,0.10000000149011612
12296.0,6.1,2.5,34,6.199999809265137,2.5999999046325684,-0.10000000149011612,-0.10000000149011612
12326.0,6.1,2.5,35,6.099999904632568,2.5,0.0,0.0
12357.0,6.0,2.7,36,6.099999904632568,2.5,-0.10000000149011612,0.20000000298023224
12387.0,5.8,2.6,37,6.0,2.700000047683716,-0.20000000298023224,-0.10000000149011612
12418.0,5.7,2.7,38,5.800000190734863,2.5999999046325684,-0.10000000149011612,0.10000000149011612
12449.0,5.6,2.8,39,5.699999809265137,2.700000047683716,-0.10000000149011612,0.10000000149011612
12478.0,5.8,2.7,40,5.599999904632568,2.799999952316284,0.20000000298023224,-0.10000000149011612
