country,alcohol,deaths,heart,liver
Australia,2.5,785,211,15.300000190734863
Austria,3.9000000953674316,863,167,45.599998474121094
Belg/Lux,2.9000000953674316,883,131,20.700000762939453
Canada,2.4000000953674316,793,191,16.399999618530273
Denmark,2.9000000953674316,971,220,23.899999618530273
Finland,0.800000011920929,970,297,19.0
France,9.100000381469727,751,71,37.900001525878906
Iceland,0.800000011920929,743,211,11.199999809265137
Ireland,0.699999988079071,1000,300,6.5
Israel,0.6000000238418579,834,183,13.699999809265137
Italy,7.900000095367432,775,107,42.20000076293945
Japan,1.5,680,36,23.200000762939453
Netherlands,1.7999999523162842,773,167,9.199999809265137
New Zealand,1.899999976158142,916,266,7.699999809265137
Norway,0.800000011920929,806,227,12.199999809265137
Spain,6.5,724,86,36.400001525878906
Sweden,1.600000023841858,743,207,11.199999809265137
Switzerland,5.800000190734863,693,115,20.299999237060547
UK,1.2999999523162842,941,285,10.300000190734863
US,1.2000000476837158,926,199,22.100000381469727
West Germany,2.700000047683716,861,172,36.70000076293945
