respond,gift,resplast,weekslast,propresp,mailsyear,giftlast,avggift
0,0,0,143.0,0.30000001192092896,2.5,10,10.0
0,0,0,65.42857360839844,0.30000001192092896,2.5,10,10.0
0,0,1,13.142857551574707,0.30000001192092896,2.5,10,10.0
0,0,0,120.14286041259766,0.30000001192092896,2.5,10,10.0
1,10,0,103.85713958740234,0.20000000298023224,2.5,10,10.0
0,0,0,129.14285278320312,0.30000001192092896,2.5,10,10.0
0,0,0,143.0,0.30000001192092896,2.5,10,10.0
0,0,0,103.85713958740234,0.5,2.5,5,6.0
0,0,1,13.142857551574707,0.30000001192092896,2.5,10,10.0
1,5,0,51.28571319580078,0.5,2.5,5,5.0
0,0,0,103.85713958740234,0.30000001192092896,2.5,10,10.0
0,0,0,103.85713958740234,0.30000001192092896,2.5,10,10.0
0,0,0,26.14285659790039,0.2222220003604889,2.25,10,10.0
1,10,0,51.28571319580078,0.2222220003604889,2.25,10,10.0
0,0,0,26.14285659790039,0.33333298563957214,2.25,10,10.0
0,0,0,158.0,0.2222220003604889,2.25,5,7.5
0,0,0,26.14285659790039,0.30000001192092896,2.5,10,10.0
0,0,0,103.85713958740234,0.30000001192092896,2.5,10,10.0
0,0,0,103.85713958740234,0.4000000059604645,2.5,10,8.75
1,2,0,26.14285659790039,0.6666669845581055,2.25,5,5.0
1,3,1,13.142857551574707,1.0,2.25,3,3.0
0,0,0,103.85713958740234,0.33333298563957214,2.25,10,10.0
0,0,1,13.142857551574707,0.2222220003604889,2.25,10,17.5
0,0,0,77.14286041259766,0.2222220003604889,2.25,10,17.5
0,0,1,13.142857551574707,0.5555559992790222,2.25,5,5.0
1,5,1,13.142857551574707,0.6666669845581055,2.25,5,5.0
0,0,1,13.142857551574707,0.33333298563957214,2.25,10,11.666666984558105
1,10,0,129.14285278320312,0.2222220003604889,2.25,10,10.0
0,0,0,51.28571319580078,0.5,2.5,10,6.800002574920654
0,0,0,65.42857360839844,0.20000000298023224,2.5,15,15.0
0,0,0,26.14285659790039,0.6000000238418579,2.5,7,5.333333492279053
0,0,0,103.85713958740234,0.2222220003604889,2.25,15,15.0
0,0,0,120.14286041259766,0.2222220003604889,2.25,10,15.0
0,0,0,103.85713958740234,0.30000001192092896,2.5,10,10.0
0,0,0,143.0,0.20000000298023224,2.5,15,15.0
0,0,0,26.14285659790039,0.6666669845581055,2.25,5,5.0
0,0,0,65.42857360839844,0.30000001192092896,2.5,10,10.0
0,0,0,103.85713958740234,0.4000000059604645,2.5,5,5.0
0,0,0,26.14285659790039,0.33333298563957214,2.25,10,8.333333015441895
0,0,0,103.85713958740234,0.20000000298023224,2.5,10,10.0
0,0,0,129.14285278320312,0.10000000149011612,2.5,25,25.0
0,0,0,103.85713958740234,0.20000000298023224,2.5,15,12.5
0,0,0,51.28571319580078,0.20000000298023224,2.5,15,12.5
0,0,0,143.0,0.10000000149011612,2.5,25,25.0
