year,age,agesq,nbh,cbd,inst,linst,price,rooms,area,land,baths,dist,ldist,lprice,y81,larea,lland,linstsq
1978,48,2304.0,4,3000.0,1000.0,6.907800197601318,60000.0,7,1660,4578.0,1,10700.0,9.277998924255371,11.002099990844727,0,7.414572715759277,8.429017066955566,47.71770477294922
1978,83,6889.0,4,4000.0,1000.0,6.907800197601318,40000.0,6,2612,8370.0,2,11000.0,9.30565071105957,10.596634864807129,0,7.867871284484863,9.032408714294434,47.71770477294922
1978,58,3364.0,4,4000.0,1000.0,6.907800197601318,34000.0,6,1144,5000.0,1,11500.0,9.350102424621582,10.434115409851074,0,7.042286396026611,8.517192840576172,47.71770477294922
1978,11,121.0,4,4000.0,1000.0,6.907800197601318,63900.0,5,1136,10000.0,1,11900.0,9.384293556213379,11.065074920654297,0,7.035268783569336,9.21034049987793,47.71770477294922
1978,48,2304.0,4,4000.0,2000.0,7.600900173187256,44000.0,5,1868,10000.0,1,12100.0,9.400960922241211,10.69194507598877,0,7.532623767852783,9.21034049987793,57.773681640625
1978,78,6084.0,4,3000.0,2000.0,7.600900173187256,46000.0,6,1780,9500.0,3,10000.0,9.210339546203613,10.736396789550781,0,7.484368801116943,9.15904712677002,57.773681640625
1978,22,484.0,4,4000.0,2000.0,7.600900173187256,56000.0,6,1700,10878.0,2,11700.0,9.36734390258789,10.933107376098633,0,7.43838357925415,9.2944974899292,57.773681640625
1978,78,6084.0,4,3000.0,2000.0,7.600900173187256,38500.0,6,1556,3870.0,2,10200.0,9.230142593383789,10.5584135055542,0,7.3498735427856445,8.26101016998291,57.773681640625
1978,42,1764.0,4,3000.0,2000.0,7.600900173187256,60500.0,8,1642,7000.0,2,10500.0,9.25913143157959,11.010398864746094,0,7.403670310974121,8.853665351867676,57.773681640625
1978,41,1681.0,4,3000.0,2000.0,7.600900173187256,55000.0,5,1443,7950.0,2,11000.0,9.30565071105957,10.915088653564453,0,7.274479389190674,8.980927467346191,57.773681640625
1978,78,6084.0,4,1000.0,4000.0,8.293999671936035,39000.0,6,1439,4990.0,1,8600.0,9.059516906738281,10.571316719055176,0,7.271703720092773,8.515191078186035,68.7904281616211
1978,38,1444.0,0,6000.0,4000.0,8.293999671936035,41000.0,5,1482,8017.0,1,12200.0,9.409191131591797,10.62132740020752,0,7.301147937774658,8.989319801330566,68.7904281616211
1978,18,324.0,0,5000.0,4000.0,8.293999671936035,50900.0,6,1290,12538.0,2,12400.0,9.42545223236084,10.837617874145508,0,7.162397384643555,9.436519622802734,68.7904281616211
1978,32,1024.0,0,9000.0,7000.0,8.853699684143066,52000.0,6,1274,7858.0,1,16800.0,9.729133605957031,10.858999252319336,0,7.149916648864746,8.969287872314453,78.38800048828125
1978,18,324.0,0,9000.0,8000.0,8.987199783325195,49000.0,6,1476,15664.0,1,17200.0,9.752664566040039,10.799575805664062,0,7.297091007232666,9.659120559692383,80.76976013183594
1978,58,3364.0,4,2000.0,3000.0,8.006400108337402,80000.0,7,1838,9249.0,2,9900.0,9.200289726257324,11.28978157043457,0,7.516433238983154,9.132270812988281,64.1024398803711
1978,56,3136.0,4,2000.0,3000.0,8.006400108337402,50000.0,6,1536,10491.0,2,10000.0,9.210339546203613,10.819778442382812,0,7.336936950683594,9.258273124694824,64.1024398803711
1978,70,4900.0,4,2000.0,3000.0,8.006400108337402,59000.0,5,2458,9400.0,2,10000.0,9.210339546203613,10.985292434692383,0,7.807103157043457,9.148465156555176,64.1024398803711
1978,26,676.0,4,3000.0,4000.0,8.293999671936035,42000.0,4,750,8000.0,1,10600.0,9.268609046936035,10.645424842834473,0,6.620073318481445,8.987196922302246,68.7904281616211
1978,21,441.0,4,4000.0,4000.0,8.293999671936035,71500.0,5,2106,13370.0,2,11700.0,9.36734390258789,11.17745304107666,0,7.652545928955078,9.500768661499023,68.7904281616211
1978,24,576.0,4,4000.0,5000.0,8.517200469970703,43000.0,4,1000,8000.0,1,11700.0,9.36734390258789,10.66895580291748,0,6.907755374908447,8.987196922302246,72.5427017211914
1978,33,1089.0,4,5000.0,5000.0,8.517200469970703,48000.0,6,1410,10370.0,2,12500.0,9.433484077453613,10.778956413269043,0,7.251345157623291,9.246672630310059,72.5427017211914
1978,128,16384.0,2,14000.0,14000.0,9.546799659729004,37500.0,7,2346,43560.0,2,19600.0,9.883284568786621,10.532095909118652,0,7.760467052459717,10.681894302368164,91.1413803100586
1978,15,225.0,2,18000.0,18000.0,9.798100471496582,59000.0,6,1215,44867.0,1,24000.0,10.085809707641602,10.985292434692383,0,7.102499485015869,10.711458206176758,96.00276947021484
1978,7,49.0,2,18000.0,18000.0,9.798100471496582,59000.0,6,2128,44174.0,2,22200.0,10.00784969329834,10.985292434692383,0,7.662937641143799,10.695891380310059,96.00276947021484
1978,0,0.0,2,16000.0,17000.0,9.741000175476074,94000.0,7,2290,25250.0,3,21700.0,9.985068321228027,11.4510498046875,0,7.736307144165039,10.136581420898438,94.8870849609375
1978,0,0.0,2,17000.0,17000.0,9.741000175476074,95920.0,7,2464,48269.0,3,21700.0,9.985068321228027,11.471269607543945,0,7.80954122543335,10.784544944763184,94.8870849609375
1978,0,0.0,2,17000.0,17000.0,9.741000175476074,95000.0,7,2240,44916.0,3,21900.0,9.994241714477539,11.461631774902344,0,7.714231014251709,10.712549209594727,94.8870849609375
1978,0,0.0,2,17000.0,17000.0,9.741000175476074,95900.0,7,2464,50808.0,3,22000.0,9.998798370361328,11.471061706542969,0,7.80954122543335,10.835808753967285,94.8870849609375
1978,1,1.0,2,16000.0,17000.0,9.741000175476074,91000.0,7,2240,53000.0,3,21600.0,9.980448722839355,11.418614387512207,0,7.714231014251709,10.878046989440918,94.8870849609375
1978,0,0.0,2,16000.0,16000.0,9.680299758911133,96900.0,7,2464,41463.0,3,21500.0,9.975808143615723,11.48143482208252,0,7.80954122543335,10.632556915283203,93.70820617675781
1978,104,10816.0,4,2000.0,4000.0,8.293999671936035,47000.0,8,2576,12568.0,2,9400.0,9.148465156555176,10.757903099060059,0,7.853992938995361,9.438909530639648,68.7904281616211
1978,18,324.0,4,3000.0,4000.0,8.293999671936035,68500.0,6,1377,12877.0,2,10200.0,9.230142593383789,11.134589195251465,0,7.227662563323975,9.463197708129883,68.7904281616211
1978,188,35344.0,0,9000.0,9000.0,9.104999542236328,36000.0,6,2071,9665.0,2,16100.0,9.686574935913086,10.491273880004883,0,7.635787010192871,9.17626667022705,82.90101623535156
1978,12,144.0,0,8000.0,8000.0,8.987199783325195,90000.0,7,2352,26890.0,3,15000.0,9.615804672241211,11.407565116882324,0,7.763021469116211,10.199509620666504,80.76976013183594
1978,178,31684.0,0,10000.0,9000.0,9.104999542236328,66900.0,10,1750,12516.0,2,17100.0,9.746833801269531,11.110954284667969,0,7.467370986938477,9.434762954711914,82.90101623535156
1978,1,1.0,4,3000.0,6000.0,8.69950008392334,44000.0,6,1869,12500.0,2,6100.0,8.716044425964355,10.69194507598877,0,7.533158779144287,9.433484077453613,75.68130493164062
1978,48,2304.0,4,2000.0,6000.0,8.69950008392334,43500.0,6,1490,5000.0,1,6600.0,8.794824600219727,10.680516242980957,0,7.3065314292907715,8.517192840576172,75.68130493164062
1978,56,3136.0,4,2000.0,6000.0,8.69950008392334,40000.0,5,1867,5000.0,1,6800.0,8.824678421020508,10.596634864807129,0,7.532088279724121,8.517192840576172,75.68130493164062
1978,3,9.0,4,3000.0,6000.0,8.69950008392334,46000.0,7,1261,10000.0,2,6000.0,8.699515342712402,10.736396789550781,0,7.139660358428955,9.21034049987793,75.68130493164062
1978,21,441.0,0,3000.0,5000.0,8.517200469970703,48000.0,5,1038,15431.0,1,10000.0,9.210339546203613,10.778956413269043,0,6.945051193237305,9.644133567810059,72.5427017211914
1978,12,144.0,4,4000.0,6000.0,8.69950008392334,61000.0,7,1800,13030.0,2,11200.0,9.32366943359375,11.01862907409668,0,7.495542049407959,9.47500991821289,75.68130493164062
1978,28,784.0,4,4000.0,5000.0,8.517200469970703,55500.0,6,1972,20089.0,2,11400.0,9.341368675231934,10.924138069152832,0,7.586803436279297,9.907927513122559,72.5427017211914
1978,23,529.0,0,6000.0,7000.0,8.853699684143066,63000.0,6,2089,16935.0,1,12100.0,9.400960922241211,11.05088996887207,0,7.644440650939941,9.737137794494629,78.38800048828125
1978,148,21904.0,0,6000.0,7000.0,8.853699684143066,32000.0,6,1464,29129.0,2,12500.0,9.433484077453613,10.373491287231445,0,7.2889275550842285,10.279489517211914,78.38800048828125
1978,25,625.0,0,7000.0,7000.0,8.853699684143066,32000.0,6,2112,12500.0,2,14000.0,9.546813011169434,10.373491287231445,0,7.655390739440918,9.433484077453613,78.38800048828125
1978,13,169.0,0,12000.0,12000.0,9.3927001953125,82000.0,6,1964,25182.0,2,18300.0,9.814656257629395,11.314474105834961,0,7.582738399505615,10.13388442993164,88.22281646728516
1978,18,324.0,0,14000.0,17000.0,9.741000175476074,51000.0,5,1166,45000.0,1,5200.0,8.556413650512695,10.839580535888672,0,7.061334133148193,10.714417457580566,94.8870849609375
1978,38,1444.0,1,10000.0,14000.0,9.546799659729004,83000.0,6,3861,51062.0,2,8000.0,8.987196922302246,11.3265962600708,0,8.258681297302246,10.840795516967773,91.1413803100586
1978,10,100.0,0,14000.0,16000.0,9.680299758911133,100000.0,7,2252,44000.0,3,16000.0,9.680343627929688,11.512925148010254,0,7.719573974609375,10.69194507598877,93.70820617675781
1978,8,64.0,0,14000.0,16000.0,9.680299758911133,131500.0,9,2598,44000.0,3,16000.0,9.680343627929688,11.786762237548828,0,7.862497329711914,10.69194507598877,93.70820617675781
1978,21,441.0,0,17000.0,18000.0,9.798100471496582,37500.0,4,2276,43560.0,1,22100.0,10.00333023071289,10.532095909118652,0,7.730175018310547,10.681894302368164,96.00276947021484
1978,68,4624.0,4,3000.0,6000.0,8.69950008392334,49000.0,6,1875,9790.0,2,6700.0,8.809863090515137,10.799575805664062,0,7.5363640785217285,9.189116477966309,75.68130493164062
1978,13,169.0,4,4000.0,6000.0,8.69950008392334,54000.0,6,1570,8790.0,2,10700.0,9.277998924255371,10.89673900604248,0,7.35883092880249,9.08137035369873,75.68130493164062
1978,38,1444.0,0,4000.0,7000.0,8.853699684143066,56900.0,6,2032,10993.0,2,5300.0,8.575462341308594,10.949050903320312,0,7.616775989532471,9.305013656616211,78.38800048828125
1978,22,484.0,0,4000.0,8000.0,8.987199783325195,62000.0,6,1318,20550.0,2,5700.0,8.648221015930176,11.034889221191406,0,7.183870792388916,9.93061637878418,80.76976013183594
1978,21,441.0,0,4000.0,8000.0,8.987199783325195,48000.0,5,1078,21800.0,2,5800.0,8.665613174438477,10.778956413269043,0,6.982862949371338,9.989665031433105,80.76976013183594
1978,56,3136.0,4,4000.0,7000.0,8.853699684143066,48000.0,7,3460,11421.0,2,5900.0,8.682707786560059,10.778956413269043,0,8.14902400970459,9.343209266662598,78.38800048828125
1978,28,784.0,4,3000.0,7000.0,8.853699684143066,53000.0,5,1592,12700.0,2,6800.0,8.824678421020508,10.878046989440918,0,7.372746467590332,9.449357032775879,78.38800048828125
1978,54,2916.0,4,4000.0,7000.0,8.853699684143066,49000.0,8,915,14000.0,1,7600.0,8.935903549194336,10.799575805664062,0,6.8189239501953125,9.546813011169434,78.38800048828125
1978,28,784.0,4,5000.0,7000.0,8.853699684143066,31000.0,5,925,4585.0,1,11400.0,9.341368675231934,10.341742515563965,0,6.829793930053711,8.430545806884766,78.38800048828125
1978,14,196.0,0,4000.0,7000.0,8.853699684143066,56900.0,6,1421,21120.0,2,6800.0,8.824678421020508,10.949050903320312,0,7.259116172790527,9.957975387573242,78.38800048828125
1978,78,6084.0,0,10000.0,10000.0,9.21030044555664,34000.0,5,990,1710.0,1,15600.0,9.65502643585205,10.434115409851074,0,6.897705078125,7.444248676300049,84.82963562011719
1978,153,23409.0,0,10000.0,11000.0,9.305700302124023,98000.0,9,3792,35942.0,4,16200.0,9.692767143249512,11.492722511291504,0,8.240649223327637,10.489662170410156,86.59606170654297
1978,3,9.0,0,12000.0,12000.0,9.3927001953125,85500.0,7,2544,26726.0,3,17700.0,9.781319618225098,11.356271743774414,0,7.841493129730225,10.193391799926758,88.22281646728516
1978,0,0.0,0,12000.0,12000.0,9.3927001953125,122500.0,7,2206,50094.0,3,18500.0,9.825526237487793,11.715866088867188,0,7.6989359855651855,10.821656227111816,88.22281646728516
1978,189,35721.0,1,14000.0,17000.0,9.741000175476074,185000.0,9,5078,132422.0,4,14500.0,9.581904411315918,12.128110885620117,0,8.532672882080078,11.79374885559082,94.8870849609375
1978,5,25.0,1,17000.0,19000.0,9.85219955444336,67500.0,5,1358,44775.0,2,16700.0,9.723163604736328,11.119882583618164,0,7.213768482208252,10.709404945373535,97.06583404541016
1978,8,64.0,1,16000.0,19000.0,9.85219955444336,120000.0,7,2171,44064.0,3,16200.0,9.692767143249512,11.695246696472168,0,7.682943344116211,10.693398475646973,97.06583404541016
1978,1,1.0,1,19000.0,21000.0,9.952300071716309,79000.0,7,1998,43561.0,3,19900.0,9.89847469329834,11.277203559875488,0,7.599902153015137,10.681917190551758,99.04827880859375
