wage,educ,exper,tenure,nonwhite,female,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc,lwage,expersq,tenursq
3.0999999046325684,11,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.1314021348953247,4,0
3.240000009536743,12,22,2,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1.1755733489990234,484,4
3.0,11,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0986123085021973,4,0
6.0,8,44,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.7917594909667969,1936,784
5.300000190734863,12,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.667706847190857,49,4
8.75,16,9,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.169053792953491,81,64
11.25,18,15,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2.420368194580078,225,49
5.0,12,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.6094379425048828,25,9
3.5999999046325684,12,26,4,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1.2809338569641113,676,16
18.18000030517578,17,22,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.900322198867798,484,441
6.25,16,8,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.8325815200805664,64,4
8.130000114440918,13,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2.0955610275268555,9,0
8.770000457763672,12,15,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2.1713368892669678,225,0
5.5,12,18,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.7047480344772339,324,9
22.200000762939453,12,31,15,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3.1000924110412598,961,225
17.329999923706055,16,14,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2.8524391651153564,196,0
7.5,12,10,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.0149030685424805,100,0
10.630000114440918,13,16,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.363680124282837,256,100
3.5999999046325684,12,13,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1.2809338569641113,169,0
4.5,12,36,6,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1.504077434539795,1296,36
6.880000114440918,12,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1.9286186695098877,121,16
8.479999542236328,12,29,13,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2.1377103328704834,841,169
6.329999923706055,16,9,9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.8453001976013184,81,81
0.5299999713897705,12,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,-0.6348783373832703,9,1
6.0,11,37,8,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.7917594909667969,1369,64
9.5600004196167,16,3,3,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2.2575876712799072,9,9
7.78000020980835,16,11,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2.051556348800659,121,100
12.5,16,31,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.525728702545166,961,0
12.5,15,30,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2.525728702545166,900,0
3.25,8,9,1,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.1786550283432007,81,1
13.0,14,23,5,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2.5649492740631104,529,25
4.5,14,2,5,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1.504077434539795,4,25
9.680000305175781,13,16,16,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.27006196975708,256,256
5.0,12,7,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.6094379425048828,49,9
4.679999828338623,12,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1.5432981252670288,9,0
4.269999980926514,16,22,4,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.4516137838363647,484,16
6.150000095367432,12,15,6,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1.816452145576477,225,36
3.509999990463257,4,39,15,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,1.2556160688400269,1521,225
3.0,14,3,3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.0986123085021973,9,9
6.25,12,11,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1.8325815200805664,121,0
7.809999942779541,12,3,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2.0554049015045166,9,0
10.0,12,20,5,1,1,1,4,1,0,0,1,0,0,0,0,0,1,0,1,0,2.3025851249694824,400,25
4.5,14,16,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1.504077434539795,256,0
4.0,11,45,12,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1.3862943649291992,2025,144
6.380000114440918,13,11,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.8531681299209595,121,16
13.699999809265137,15,20,13,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,2.6173958778381348,400,169
1.6699999570846558,10,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0.5128235816955566,1,0
2.930000066757202,12,36,2,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.0750024318695068,1296,4
3.6500000953674316,14,9,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.2947272062301636,81,4
2.9000000953674316,12,15,1,0,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1.0647107362747192,225,1
1.6299999952316284,12,18,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.48858001828193665,324,0
8.600000381469727,16,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2.1517622470855713,9,4
